Sensor,Vertical Position,Horizontal Position,X,Y,Z
1,0,-2,7638,4989,-16563
1,0,-1,8057,2211,-17801
1,0,1,7915,-5128,-16923
1,0,2,7403,-7748,-14838
1,1,-2,5256,6053,-19977
1,1,-1,5589,2757,-21657
1,1,1,5540,-5954,-20847
1,1,2,5188,-9398,-18081
1,2,-2,2461,6635,-21752
1,2,-1,2647,2994,-23671
1,2,1,2652,-6519,-22870
1,2,2,2502,-10318,-19765
1,3,-2,-324,6839,-22279
1,3,-1,-283,3108,-24295
1,3,1,-257,-6724,-23443
1,3,2,-198,-10627,-20243
1,4,-2,-3282,6661,-21615
1,4,-1,-3392,3041,-23629
1,4,1,-3339,-6663,-22739
1,4,2,-3043,-10390,-19634
1,5,-2,-6319,6002,-19324
1,5,-1,-6636,2779,-21186
1,5,1,-6512,-6071,-20399
1,5,2,-5946,-9451,-17586
1,6,-2,-8899,3958,-15768
1,6,-1,-9247,2221,-16422
1,6,1,-9078,-4916,-15839
1,6,2,-8542,-6875,-14693
3,0,-2,7529,5596,-15825
3,0,-1,8057,2690,-17503
3,0,1,8079,-5573,-17021
3,0,2,7619,-8071,-15209
3,1,-2,4961,6747,-19114
3,1,-1,5325,3376,-21176
3,1,1,5385,-6219,-20837
3,1,2,5078,-9482,-18461
3,2,-2,2010,7446,-20908
3,2,-1,2192,3742,-23213
3,2,1,2268,-6712,-22866
3,2,2,2153,-10342,-20238
3,3,-2,-922,7688,-21441
3,3,-1,-912,3901,-23845
3,3,1,-845,-6941,-23504
3,3,2,-778,-10685,-20782
3,4,-2,-4042,7433,-20839
3,4,-1,-4215,3786,-23187
3,4,1,-4150,-6939,-22816
3,4,2,-3880,-10507,-20148
3,5,-2,-7258,6632,-18559
3,5,-1,-7652,3384,-20688
3,5,1,-7567,-6448,-20383
3,5,2,-7060,-9667,-17946
3,6,-2,-10011,4284,-14957
3,6,-1,-10419,2571,-15733
3,6,1,-10348,-5374,-15546
3,6,2,-9903,-6966,-14819
6,0,-2,6614,4452,-15738
6,0,-1,6990,1735,-17094
6,0,1,6887,-5106,-16480
6,0,2,6468,-7522,-14787
6,1,-2,4424,5389,-18742
6,1,-1,4671,2252,-20401
6,1,1,4633,-5656,-19864
6,1,2,4347,-8746,-17683
6,2,-2,1893,5952,-20378
6,2,-1,2004,2517,-22218
6,2,1,1991,-6121,-21618
6,2,2,1883,-9443,-19229
6,3,-2,-625,6134,-20812
6,3,-1,-648,2632,-22708
6,3,1,-639,-6325,-22067
6,3,2,-588,-9671,-19613
6,4,-2,-3288,5910,-20071
6,4,-1,-3447,2547,-21935
6,4,1,-3405,-6321,-21225
6,4,2,-3177,-9426,-18878
6,5,-2,-5961,5180,-17811
6,5,-1,-6270,2244,-19482
6,5,1,-6154,-5849,-18811
6,5,2,-5738,-8598,-16699
6,6,-2,-8152,3044,-14506
6,6,-1,-8410,1654,-14998
6,6,1,-8247,-4897,-14493
6,6,2,-7912,-6137,-13950
8,0,-2,6025,6259,-13585
8,0,-1,6494,3459,-15343
8,0,1,6490,-3327,-15248
8,0,2,6140,-5499,-14025
8,1,-2,3783,7260,-16233
8,1,-1,4059,4049,-18360
8,1,1,4056,-3742,-18415
8,1,2,3816,-6480,-16750
8,2,-2,1181,7856,-17642
8,2,-1,1274,4345,-19971
8,2,1,1246,-4077,-20018
8,2,2,1145,-7050,-18209
8,3,-2,-1409,8015,-17945
8,3,-1,-1498,4452,-20323
8,3,1,-1561,-4205,-20358
8,3,2,-1529,-7202,-18503
8,4,-2,-4122,7705,-17160
8,4,-1,-4399,4319,-19447
8,4,1,-4482,-4148,-19421
8,4,2,-4303,-6942,-17620
8,5,-2,-6762,6910,-14957
8,5,-1,-7252,3937,-16952
8,5,1,-7323,-3696,-16910
8,5,2,-6985,-6167,-15287
8,6,-2,-8860,4887,-11920
8,6,-1,-9290,3255,-12616
8,6,1,-9406,-2571,-12702
8,6,2,-9105,-3836,-12290
10,0,-2,-6176,-4848,15191
10,0,-1,-6578,-2046,16956
10,0,1,-6568,4917,16995
10,0,2,-6150,7716,15423
10,1,-2,-3826,-5812,17885
10,1,-1,-4053,-2664,19925
10,1,1,-4031,5280,20145
10,1,2,-3747,8712,18158
