Sensor,Position,X,Y,Z
0,press,0,0,0
0,aftertouch,-13966,389,18068
0,left,1784,12067,26238
0,right,1818,-11514,23533
1,press,0,0,0
1,aftertouch,8116,403,-17819
1,left,-2269,5751,-22711
1,right,-2161,-9610,-20819
2,press,0,0,0
2,aftertouch,-14668,455,18429
2,left,1720,12795,26088
2,right,1524,-9545,27935
3,press,0,0,0
3,aftertouch,8252,733,-17974
3,left,-3006,6423,-22091
3,right,-2927,-9225,-21687
4,press,0,0,0
4,aftertouch,14204,-1434,-18122
4,left,-2074,-13168,-25756
4,right,-1912,9851,-29068
5,press,0,0,0
5,aftertouch,-15067,339,19048
5,left,1510,13980,27258
5,right,1422,-11332,26934
6,press,0,0,0
6,aftertouch,7097,-726,-17424
6,left,-2448,4797,-21239
6,right,-2400,-8248,-20356
7,press,0,0,0
7,aftertouch,13551,-1537,-16378
7,left,-1739,-13288,-23671
7,right,-1939,9770,-26638
8,press,0,0,0
8,aftertouch,6668,420,-15933
8,left,-3286,6890,-18420
8,right,-3422,-6735,-18265
9,press,0,0,0
9,aftertouch,15781,-2212,-19384
9,left,-1598,-17886,-25752
9,right,-1596,10365,-31557
10,press,0,0,0
10,aftertouch,-6703,69,17452
10,left,3489,-5464,19639
10,right,3635,8367,19741
11,press,0,0,0
11,aftertouch,-13992,1497,18837
11,left,1774,15381,23405
11,right,1784,-10324,30186
12,press,0,0,0
12,aftertouch,-12276,3022,17523
12,left,2452,13500,20736
12,right,2701,-5842,27374
13,press,0,0,0
13,aftertouch,-6921,-1938,16711
13,left,2835,-8944,19302
13,right,2881,6115,21252
14,press,0,0,0
14,aftertouch,-12806,1581,17941
14,left,1737,15155,22018
14,right,1868,-7422,27086
15,press,0,0,0
15,aftertouch,8016,722,-17516
15,left,-2720,7184,-20307
15,right,-2855,-7938,-21796
16,press,0,0,0
16,aftertouch,12821,-2272,-17755
16,left,-1893,-14570,-20923
16,right,-2066,7740,-27797
17,press,0,0,0
17,aftertouch,-13754,3159,17672
17,left,1935,15258,22834
17,right,2015,-9369,28414
18,press,0,0,0
18,aftertouch,-7525,-929,16848
18,left,2849,-8038,19910
18,right,2946,6364,20681
19,press,0,0,0
19,aftertouch,14310,-2745,-17742
19,left,-1321,-13498,-23874
19,right,-1590,9656,-27556
20,press,0,0,0
20,aftertouch,-7794,-1270,18245
20,left,2114,-8263,20664
20,right,2394,6214,22895
21,press,0,0,0
21,aftertouch,15185,-1991,-18407
21,left,-760,-17002,-24883
21,right,-758,9756,-30722
22,press,0,0,0
22,aftertouch,-6691,-38,16275
22,left,2821,-7203,17891
22,right,3100,6830,20147
23,press,0,0,0
23,aftertouch,-14301,2733,18915
23,left,1977,16479,21831
23,right,1872,-8333,31169
24,press,0,0,0
24,aftertouch,-12900,2378,17763
24,left,2725,13065,21234
24,right,2784,-9338,25033
25,press,0,0,0
25,aftertouch,-7589,-1894,17240
25,left,3129,-7888,20840
25,right,3129,7758,21124
26,press,0,0,0
26,aftertouch,-13270,10,16621
26,left,1698,13166,22399
26,right,1872,-9631,26163
27,press,0,0,0
27,aftertouch,-8107,-2274,18326
27,left,2443,-9562,21617
27,right,2568,5401,22886
28,press,0,0,0
28,aftertouch,12711,-2510,-16498
28,left,-1257,-12282,-21408
28,right,-1395,7434,-27783
29,press,0,0,0
29,aftertouch,-14088,1409,17777
29,left,1449,15233,25087
29,right,1662,-11191,28195
30,press,0,0,0
30,aftertouch,-8215,-713,19092
30,left,2748,-9638,22636
30,right,2856,7229,23106
31,press,0,0,0
31,aftertouch,12848,-2090,-17366
31,left,-1689,-11955,-23785
31,right,-2021,10825,-26829
32,press,0,0,0
32,aftertouch,8195,944,-18930
32,left,-2909,9137,-22326
32,right,-3055,-8248,-23239
33,press,0,0,0
33,aftertouch,14506,-1481,-18483
33,left,-1632,-16896,-24363
33,right,-1608,10283,-30542
34,press,0,0,0
34,aftertouch,8201,1708,-18143
34,left,-2257,9732,-20640
34,right,-2420,-6385,-22126
35,press,0,0,0
35,aftertouch,-15517,1575,19342
35,left,1160,13423,26463
35,right,1133,-11170,31599
36,press,0,0,0
36,aftertouch,-12559,1506,20025
36,left,2442,13636,19762
36,right,3023,-5961,25741
37,press,0,0,0
37,aftertouch,7775,297,-18493
37,left,-2189,8142,-20583
37,right,-2482,-7000,-22910
38,press,0,0,0
38,aftertouch,-13168,182,19817
38,left,2048,13297,24517
38,right,2189,-9017,27943
39,press,0,0,0
39,aftertouch,7468,-423,-18245
39,left,-2943,7818,-19880
39,right,-3276,-7522,-21826
40,press,0,0,0
40,aftertouch,13453,-2805,-19204
40,left,-2033,-15428,-22760
40,right,-2298,8984,-29631
41,press,0,0,0
41,aftertouch,-14916,1574,21776
41,left,1910,16764,26406
41,right,1917,-10383,30359
42,press,0,0,0
42,aftertouch,8051,637,-18850
42,left,-2692,7534,-20982
42,right,-3037,-7729,-22750
43,press,0,0,0
43,aftertouch,13263,-3589,-17981
43,left,-2105,-14212,-22920
43,right,-2543,10067,-27057
44,press,0,0,0
44,aftertouch,6631,119,-17347
44,left,-3055,8337,-19053
44,right,-3503,-6223,-21134
45,press,0,0,0
45,aftertouch,15406,-2632,-20973
45,left,-2229,-17986,-24782
45,right,-2325,10577,-30646
46,press,0,0,0
46,aftertouch,7505,2437,-18458
46,left,-2769,9630,-20089
46,right,-3104,-5019,-22165
47,press,0,0,0
47,aftertouch,-13615,3952,20155
47,left,1693,14948,22280
47,right,1904,-8228,31752
48,press,0,0,0
48,aftertouch,-13338,2269,19067
48,left,1925,14614,21454
48,right,2228,-9662,26890
