Sensor,Vertical Position,Horizontal Position,X,Y,Z
0,0,-2,-13334,6584,16385
0,0,-1,-13998,1201,17884
0,0,1,-13194,-4010,16817
0,0,2,-11492,-7552,13987
0,1,-2,-10652,8488,22975
0,1,-1,-11193,1699,25056
0,1,1,-10580,-5310,23301
0,1,2,-9218,-9752,19213
0,2,-2,-6769,9605,26629
0,2,-1,-7115,2079,29060
0,2,1,-6776,-6137,26941
0,2,2,-5948,-11099,22256
0,3,-2,-3299,10076,28045
0,3,-1,-3491,2313,30612
0,3,1,-3349,-6513,28399
0,3,2,-2903,-11685,23527
0,4,-2,-170,10164,28289
0,4,-1,-255,2261,30873
0,4,1,-249,-6588,28654
0,4,2,-79,-11736,23779
0,5,-2,2962,9922,27593
0,5,-1,2997,2163,30181
0,5,1,2875,-6434,27940
0,5,2,2790,-11318,23184
0,6,-2,6487,9240,25571
0,6,-1,6682,2091,28024
0,6,1,6369,-5886,25922
0,6,2,5919,-10325,21403
0,7,-2,10148,7180,21931
0,7,-1,10475,1926,23446
0,7,1,9902,-4929,21628
0,7,2,9483,-7107,19729
0,8,-2,12635,3088,16078
0,8,-1,12618,1099,16110
0,8,1,12079,-2813,15304
0,8,2,11932,-3474,15133
2,0,-2,-12715,8433,15006
2,0,-1,-14256,4541,17475
2,0,1,-14589,-1579,18024
2,0,2,-13583,-5780,16180
2,1,-2,-10391,10825,21000
2,1,-1,-11637,6063,24577
2,1,1,-11972,-2161,25320
2,1,2,-11187,-7616,22691
2,2,-2,-6789,12283,24571
2,2,-1,-7589,7120,28617
2,2,1,-7878,-2486,29611
2,2,2,-7429,-8702,26575
2,3,-2,-3324,12909,26079
2,3,-1,-3788,7657,30132
2,3,1,-4059,-2560,30743
2,3,2,-3864,-9115,28275
2,4,-2,-208,12993,26378
2,4,-1,-436,7833,30269
2,4,1,-643,-2502,30904
2,4,2,-598,-9160,28643
2,5,-2,2862,12624,25759
2,5,-1,2861,7654,29820
2,5,1,2736,-2365,30582
2,5,2,2648,-8939,27985
2,6,-2,6203,11699,23930
2,6,-1,6491,7223,27765
2,6,1,6475,-2074,29089
2,6,2,6189,-8270,26084
2,7,-2,9895,8445,22065
2,7,-1,10191,6384,23490
2,7,1,10370,-1660,24780
2,7,2,9858,-6383,22742
2,8,-2,12615,4598,17090
2,8,-1,12720,3641,17234
2,8,1,12839,-1076,17616
2,8,2,12675,-2614,17426
4,0,-2,11993,-8745,-14345
4,0,-1,13605,-5073,-16964
4,0,1,14251,898,-18071
4,0,2,13393,5685,-16483
4,1,-2,9785,-11288,-20865
4,1,-1,11076,-6799,-24649
4,1,1,11642,1371,-26234
4,1,2,10983,7652,-23953
4,2,-2,6153,-12815,-24616
4,2,-1,6937,-7977,-28907
4,2,1,7342,1537,-30905
4,2,2,7011,8793,-28254
4,3,-2,2740,-13420,-26033
4,3,-1,3175,-8507,-30421
4,3,1,3483,1606,-32075
4,3,2,3337,9171,-29943
4,4,-2,-268,-13428,-26156
4,4,-1,-87,-8648,-30482
4,4,1,112,1490,-32167
4,4,2,115,9147,-30182
4,5,-2,-3160,-12967,-25370
4,5,-1,-3180,-8453,-29601
4,5,1,-3123,1274,-31730
4,5,2,-2998,8872,-29363
4,6,-2,-6246,-11939,-23415
4,6,-1,-6546,-7914,-27365
4,6,1,-6666,1039,-29717
4,6,2,-6404,8152,-27276
4,7,-2,-9674,-8518,-21780
4,7,-1,-9890,-6958,-23100
4,7,1,-10297,777,-25270
4,7,2,-9816,6580,-23532
4,8,-2,-12242,-4727,-16985
4,8,-1,-12380,-3799,-17251
4,8,1,-12669,448,-18022
4,8,2,-12583,2566,-17788
5,0,-2,-13280,8967,15354
5,0,-1,-14853,4609,18246
5,0,1,-14771,-2213,18539
5,0,2,-13336,-6344,16351
5,1,-2,-10934,11761,21875
5,1,-1,-12131,6243,25908
5,1,1,-12103,-3008,26110
5,1,2,-10957,-8403,22830
5,2,-2,-7085,13433,25660
5,2,-1,-7807,7401,30127
5,2,1,-7869,-3458,30479
5,2,2,-7185,-9686,26632
5,3,-2,-3546,14140,27191
5,3,-1,-3951,7915,31142
5,3,1,-4048,-3635,31366
5,3,2,-3712,-10214,28229
5,4,-2,-398,14237,27508
5,4,-1,-588,8121,31253
5,4,1,-689,-3645,31537
5,4,2,-592,-10313,28516
5,5,-2,2678,13844,26953
5,5,-1,2698,7959,30923
5,5,1,2594,-3470,31202
5,5,2,2479,-10098,27838
5,6,-2,6120,12846,25215
5,6,-1,6410,7561,29303
5,6,1,6335,-3089,29930
5,6,2,5914,-9345,25978
5,7,-2,10117,9144,23622
5,7,-1,10350,6732,24935
5,7,1,10334,-2547,25605
5,7,2,9730,-6656,23357
5,8,-2,13135,4837,18317
5,8,-1,13156,3668,18268
5,8,1,12947,-1784,18267
5,8,2,12722,-2808,18104
7,0,-2,11548,-8365,-12136
7,0,-1,13187,-4538,-15342
